power_cap,gpu_count,runtime_seconds
700,1,133.5211741924286
700,1,135.29429745674133
700,1,135.66974091529846
700,1,134.3170289993286
700,1,135.4197018146515
700,1,133.86621522903442
700,1,134.6551480293274
700,1,133.9584310054779
700,1,134.66439485549927
700,1,136.52446007728577
700,1,134.81974482536316
700,1,136.0617711544037
700,1,133.99693870544434
400.0,2,111.85479855537415
450.0,2,112.78539848327637
500.0,2,113.27037191390991
550.0,2,112.22901105880737
600.0,2,112.19657564163208
650.0,2,111.70259022712708
700.0,2,111.78395009040833
700,2,112.86058712005615
700,2,112.7681565284729
700,2,112.29719877243042
700,2,112.49236512184143
700,2,112.60977578163147
700,2,112.65231466293335
266.6666666666667,3,103.61796808242798
300.0,3,103.98660206794739
333.3333333333333,3,103.60398769378662
366.6666666666667,3,102.97650265693665
400.0,3,102.85712051391602
433.3333333333333,3,104.04377293586731
466.6666666666667,3,103.250732421875
500.0,3,102.52416658401489
533.3333333333334,3,102.6707227230072
566.6666666666666,3,104.70111441612244
600.0,3,103.2241735458374
633.3333333333334,3,103.7211983203888
666.6666666666666,3,102.60826539993286
200.0,4,103.31427240371704
225.0,4,102.65378379821777
250.0,4,103.48270273208618
275.0,4,103.7518572807312
300.0,4,104.10310935974121
325.0,4,103.487056016922
350.0,4,103.29175591468811
375.0,4,103.62231278419495
400.0,4,104.24915146827698
425.0,4,103.3354344367981
450.0,4,103.15017938613892
475.0,4,103.81568670272827
500.0,4,102.97150206565857
