power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau
800,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
900,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
1000,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
1200,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
1400,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
1600,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
2000,"[2, 1, 3, 4]","[2, 1, 3, 4]",2,2,1,1.0
