power_cap,gpu_count,runtime_seconds
800,1,55.58494377136231
900,1,54.71045732498169
1000,1,54.7066330909729
1100,1,54.64638924598694
1200,1,54.888699293136604
1300,1,54.83480763435364
1400,1,55.34731984138489
1500,1,54.771151542663574
1600,1,54.873860836029046
1700,1,54.79347229003906
1800,1,54.797824144363396
1900,1,54.76662826538086
2000,1,54.86453652381897
800,2,29.44176459312439
900,2,29.47724914550781
1000,2,29.39540123939514
1100,2,29.394415616989136
1200,2,29.51341724395752
1300,2,29.43555903434753
1400,2,29.32810378074646
1500,2,29.354283094406128
1600,2,29.3692889213562
1700,2,29.39092206954956
1800,2,29.398539781570435
1900,2,29.3850040435791
2000,2,29.410476207733154
800,3,22.556082248687744
900,3,21.49539446830749
1000,3,21.315969467163086
1100,3,21.39023208618164
1200,3,22.128746271133426
1300,3,21.366081476211548
1400,3,21.316838741302487
1500,3,21.360671997070312
1600,3,21.305596590042114
1700,3,21.420222997665405
1800,3,21.352314949035645
1900,3,21.31012749671936
2000,3,21.44650363922119
800,4,21.97818660736084
900,4,20.82528042793274
1000,4,19.543571710586548
1100,4,18.966754436492923
1200,4,18.32616186141968
1300,4,18.515406608581547
1400,4,18.428885459899906
1500,4,18.490140676498413
1600,4,18.414880275726322
1700,4,18.57470107078552
1800,4,18.21777987480164
1900,4,18.42241668701172
2000,4,18.47091555595398
