power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau
800,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
900,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
1000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
1200,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
1400,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
1600,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
2000,"[4, 3, 2, 1]","[4, 3, 2, 1]",4,4,1,1.0
