power_cap,gpu_count,runtime,avg_power_active,avg_sm_active,avg_dram_active,avg_power_x_gpu,avg_sm_x_gpu,avg_dram_x_gpu
800,1,55.58494377136231,273.7142857142857,1980.0,0.12214285714285714,273.7142857142857,1980.0,0.12214285714285714
800,2,29.44176459312439,275.3571428571429,1980.0,0.122,550.7142857142858,3960.0,0.244
800,3,22.556082248687744,255.2857142857143,1892.142857142857,0.1252857142857143,765.8571428571429,5676.428571428572,0.3758571428571429
800,4,21.97818660736084,188.07142857142856,1563.2142857142858,0.08721428571428572,752.2857142857142,6252.857142857143,0.34885714285714287
900,1,54.71045732498169,281.2857142857143,1980.0,0.12185714285714286,281.2857142857143,1980.0,0.12185714285714286
900,2,29.47724914550781,286.3571428571429,1980.0,0.13278571428571428,572.7142857142858,3960.0,0.26557142857142857
900,3,21.49539446830749,279.1428571428571,1972.857142857143,0.13247619047619047,837.4285714285713,5918.571428571428,0.3974285714285714
900,4,20.82528042793274,222.3928571428571,1701.9642857142856,0.11139285714285713,889.5714285714284,6807.857142857142,0.4455714285714285
1000,1,54.7066330909729,307.42857142857144,1980.0,0.142,307.42857142857144,1980.0,0.142
1000,2,29.39540123939514,278.78571428571433,1980.0,0.122,557.5714285714287,3960.0,0.244
1000,3,21.315969467163086,282.1904761904762,1980.0,0.1357142857142857,846.5714285714287,5940.0,0.40714285714285714
1000,4,19.543571710586548,238.92857142857144,1849.8214285714284,0.11032142857142857,955.7142857142858,7399.285714285714,0.4412857142857143
1200,1,54.888699293136604,271.42857142857144,1980.0,0.12214285714285714,271.42857142857144,1980.0,0.12214285714285714
1200,2,29.51341724395752,277.6428571428571,1980.0,0.122,555.2857142857142,3960.0,0.244
1200,3,22.128746271133426,282.6666666666667,1980.0,0.1343809523809524,848.0,5940.0,0.40314285714285725
1200,4,18.32616186141968,259.8928571428571,1980.0,0.11239285714285716,1039.5714285714284,7920.0,0.4495714285714286
1400,1,55.34731984138489,270.85714285714283,1980.0,0.12214285714285714,270.85714285714283,1980.0,0.12214285714285714
1400,2,29.32810378074646,287.28571428571433,1980.0,0.13507142857142856,574.5714285714287,3960.0,0.27014285714285713
1400,3,21.316838741302487,290.23809523809524,1980.0,0.139,870.7142857142858,5940.0,0.41700000000000004
1400,4,18.428885459899906,256.6071428571429,1980.0,0.11235714285714286,1026.4285714285716,7920.0,0.44942857142857146
1600,1,54.873860836029046,278.42857142857144,1980.0,0.12214285714285714,278.42857142857144,1980.0,0.12214285714285714
1600,2,29.3692889213562,276.78571428571433,1980.0,0.12192857142857143,553.5714285714287,3960.0,0.24385714285714286
1600,3,21.305596590042114,288.85714285714283,1980.0,0.139,866.5714285714284,5940.0,0.41700000000000004
1600,4,18.414880275726322,269.25,1980.0,0.11539285714285716,1077.0,7920.0,0.46157142857142863
2000,1,54.86453652381897,271.0,1980.0,0.12214285714285714,271.0,1980.0,0.12214285714285714
2000,2,29.410476207733154,278.5,1980.0,0.122,557.0,3960.0,0.244
2000,3,21.44650363922119,289.1428571428571,1980.0,0.13904761904761906,867.4285714285713,5940.0,0.41714285714285715
2000,4,18.47091555595398,287.2857142857143,1980.0,0.131,1149.142857142857,7920.0,0.524
