Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W),GPU3_SM_Clock (MHz),GPU3_DRAM_Active,GPU3_FP16_Active,GPU3_FP32_Active,GPU3_FP64_Active,GPU3_Power (W)
0.2002711296081543,450.0,0.0,0.0,0.0,0.0,121,450.0,0.0,0.0,0.0,0.0,114,1980.0,0.0,0.0,0.0,0.0,116,525.0,0.0,0.0,0.0,0.0,108
1.8457894325256348,345.0,0.0,0.0,0.0,0.0,73,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,69,345.0,0.0,0.0,0.0,0.0,70
2.9083447456359863,345.0,0.0,0.0,0.0,0.0,73,345.0,0.0,0.0,0.0,0.0,71,1980.0,0.0,0.0,0.0,0.0,73,1980.0,0.0,0.0,0.0,0.0,77
3.7536420822143555,1950.0,0.323,0.0,0.0,0.011,221,1965.0,0.0,0.0,0.0,0.0,216,1980.0,0.17,0.0,0.0,0.006,223,1965.0,0.037,0.0,0.0,0.001,221
4.563434600830078,1785.0,0.659,0.0,0.0,0.028,399,1845.0,0.669,0.0,0.0,0.025,398,1935.0,0.654,0.0,0.0,0.024,398,1755.0,0.665,0.0,0.0,0.026,399
5.37290096282959,1380.0,0.678,0.0,0.0,0.025,399,1440.0,0.678,0.0,0.0,0.024,397,1665.0,0.678,0.0,0.0,0.024,395,1410.0,0.677,0.0,0.0,0.025,398
6.182220697402954,1545.0,0.677,0.0,0.0,0.025,398,1665.0,0.677,0.0,0.0,0.025,396,1905.0,0.677,0.0,0.0,0.024,398,1650.0,0.677,0.0,0.0,0.025,395
6.99143648147583,1860.0,0.675,0.0,0.0,0.029,397,1875.0,0.675,0.0,0.0,0.028,399,1965.0,0.676,0.0,0.0,0.024,398,1935.0,0.675,0.0,0.0,0.029,397
7.800706148147583,1740.0,0.67,0.0,0.0,0.032,398,1875.0,0.671,0.0,0.0,0.031,401,1935.0,0.671,0.0,0.0,0.026,395,1845.0,0.671,0.0,0.0,0.031,398
8.609985828399658,1590.0,0.674,0.0,0.0,0.029,399,1680.0,0.676,0.0,0.0,0.028,398,1920.0,0.674,0.0,0.0,0.025,399,1650.0,0.676,0.0,0.0,0.028,399
9.419254779815674,1500.0,0.677,0.0,0.0,0.027,398,1485.0,0.677,0.0,0.0,0.026,395,1905.0,0.677,0.0,0.0,0.025,396,1515.0,0.677,0.0,0.0,0.026,398
10.228487968444824,1635.0,0.677,0.0,0.0,0.027,398,1740.0,0.677,0.0,0.0,0.026,397,1920.0,0.677,0.0,0.0,0.025,395,1650.0,0.677,0.0,0.0,0.027,396
11.038761377334595,1830.0,0.675,0.0,0.0,0.03,398,1890.0,0.675,0.0,0.0,0.028,399,1890.0,0.675,0.0,0.0,0.025,398,1710.0,0.675,0.0,0.0,0.03,397
11.848249912261963,1710.0,0.675,0.0,0.0,0.032,398,1800.0,0.675,0.0,0.0,0.029,399,1830.0,0.675,0.0,0.0,0.025,396,1800.0,0.676,0.0,0.0,0.029,400
12.657432317733765,1590.0,0.675,0.0,0.0,0.03,398,1695.0,0.676,0.0,0.0,0.027,397,1815.0,0.675,0.0,0.0,0.025,399,1725.0,0.675,0.0,0.0,0.028,402
13.466676473617554,1545.0,0.676,0.0,0.0,0.028,398,1650.0,0.677,0.0,0.0,0.027,399,1905.0,0.676,0.0,0.0,0.025,397,1500.0,0.677,0.0,0.0,0.028,401
14.276560068130493,1545.0,0.677,0.0,0.0,0.028,397,1665.0,0.676,0.0,0.0,0.027,399,1890.0,0.676,0.0,0.0,0.025,396,1680.0,0.677,0.0,0.0,0.028,397
15.085859060287476,1965.0,0.676,0.0,0.0,0.029,363,1965.0,0.675,0.0,0.0,0.029,360,1965.0,0.676,0.0,0.0,0.025,351,1965.0,0.675,0.0,0.0,0.03,363
15.933340549468994,1980.0,0.0,0.0,0.0,0.0,147,1980.0,0.0,0.0,0.0,0.0,147,1980.0,0.005,0.0,0.0,0.0,133,1980.0,0.0,0.0,0.0,0.0,148
