power_cap,gpu_count,runtime_seconds
800,1,40.56253600120544
900,1,40.58788299560547
1000,1,40.59061217308045
1100,1,40.620222806930535
1200,1,40.566725254058845
1300,1,41.328917026519775
1400,1,40.57395482063294
1500,1,40.868948936462395
1600,1,41.08024263381958
1700,1,40.635576963424676
1800,1,40.589796781539924
1900,1,40.645203351974494
2000,1,40.57556939125061
800,2,24.37288069725037
900,2,24.91255283355713
1000,2,24.79831075668335
1100,2,24.93497180938721
1200,2,24.85365843772888
1300,2,24.805018424987797
1400,2,24.895438194274906
1500,2,24.84312677383423
1600,2,24.88709926605225
1700,2,24.946528673172
1800,2,24.876529455184933
1900,2,24.870020627975464
2000,2,25.015536546707157
800,3,22.698745727539066
900,3,21.5252206325531
1000,3,19.701383352279663
1100,3,19.91676998138428
1200,3,18.846687793731693
1300,3,20.776701450347897
1400,3,19.77878189086914
1500,3,19.7774875164032
1600,3,18.79486870765686
1700,3,19.733218431472782
1800,3,19.879457712173465
1900,3,19.809916019439694
2000,3,20.719728946685787
800,4,28.501604080200195
900,4,23.71467661857605
1000,4,22.177355527877808
1100,4,20.378184795379642
1200,4,18.9927339553833
1300,4,18.354830741882324
1400,4,15.91532278060913
1500,4,15.657466173171995
1600,4,16.474889993667606
1700,4,15.51526927947998
1800,4,16.3546621799469
1900,4,16.466795444488525
2000,4,17.51437020301819
