power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau,best_target,worst_target,speedup_vs_worst
400,"[1, 2]","[1, 2]",1,1,1,1.0,27104.09,24801.11,1.0928579406324959
500,"[1, 2]","[1, 2]",1,1,1,1.0,26941.61,25433.54,1.0592945378425496
600,"[1, 3, 2]","[1, 3, 2]",1,1,1,1.0,27096.3,25435.89,1.0652782348091614
700,"[1, 3, 2]","[1, 3, 2]",1,1,1,1.0,27107.66,25589.13,1.0593427756238685
800,"[3, 2, 4]","[3, 2, 4]",3,3,1,1.0,26240.25,26040.87,1.007656426225391
900,"[4, 3, 2]","[4, 3, 2]",4,4,1,1.0,25965.28,25577.95,1.0151431213212943
1000,"[3, 2, 4]","[3, 2, 4]",3,3,1,1.0,26600.82,26091.35,1.0195263947630153
1200,"[4, 3, 2]","[4, 3, 2]",4,4,1,1.0,26708.88,26014.83,1.0266790134703936
1400,"[4, 3, 2]","[4, 3, 2]",4,4,1,1.0,26264.37,25651.53,1.023890972585261
1600,"[4, 3]","[4, 3]",4,4,1,1.0,26433.22,26133.0,1.0114881567366931
1800,"[3, 4]","[3, 4]",3,3,1,1.0,26166.54,25455.04,1.0279512426615711
