Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W)
0.20011019706726074,1980.0,0.002,0.0,0.0,0.0,147
1.013519525527954,450.0,0.0,0.0,0.0,0.0,97
1.8237757682800293,345.0,0.0,0.0,0.0,0.0,81
2.6333823204040527,345.0,0.0,0.0,0.0,0.0,81
3.633984327316284,825.0,0.0,0.0,0.0,0.0,84
5.285756826400757,1980.0,0.0,0.0,0.0,0.0,92
6.096174478530884,1980.0,0.072,0.0,0.014,0.0,234
6.9057981967926025,1980.0,0.327,0.0,0.059,0.0,510
7.715472221374512,1980.0,0.33,0.0,0.06,0.0,498
8.525146245956421,1980.0,0.08,0.0,0.018,0.0,307
9.33811616897583,1980.0,0.324,0.0,0.071,0.0,477
10.147996664047241,1980.0,0.296,0.0,0.058,0.0,466
10.957890748977661,1980.0,0.086,0.0,0.015,0.0,349
11.76907753944397,1980.0,0.338,0.0,0.071,0.0,408
12.580182790756226,1980.0,0.335,0.0,0.071,0.0,485
13.389741659164429,1980.0,0.319,0.0,0.063,0.0,368
14.23872447013855,1980.0,0.0,0.0,0.0,0.0,184
