power_cap,gpu_count,runtime_seconds
800,1,140.4722385406494
900,1,140.30455780029294
1000,1,140.4774363040924
1100,1,140.25912475585938
1200,1,140.4848825931549
1300,1,140.4227135181427
1400,1,140.31650042533877
1500,1,141.00044560432434
1600,1,140.41931128501892
1700,1,140.5723900794983
1800,1,140.34666538238523
1900,1,140.46090030670166
2000,1,140.4535858631134
800,2,76.75191235542296
900,2,76.17245626449584
1000,2,76.25632238388063
1100,2,76.75521755218506
1200,2,76.07668709754944
1300,2,76.35803818702699
1400,2,76.65713858604431
1500,2,76.41717529296875
1600,2,76.81516027450563
1700,2,76.83684325218199
1800,2,76.72045922279358
1900,2,76.30878949165343
2000,2,76.07291889190674
800,3,56.63957214355469
900,3,56.63470435142517
1000,3,56.69567489624024
1100,3,56.47995781898498
1200,3,56.68588948249817
1300,3,56.56189441680908
1400,3,56.70656442642212
1500,3,56.62184929847717
1600,3,56.72498321533203
1700,3,56.52050733566284
1800,3,56.54793238639832
1900,3,56.6146342754364
2000,3,56.55098581314087
800,4,43.07517218589783
900,4,43.11347579956055
1000,4,42.99469208717346
1100,4,43.07054686546326
1200,4,43.21053004264832
1300,4,43.03185725212097
1400,4,42.998230934143066
1500,4,43.22235751152039
1600,4,43.02648711204529
1700,4,43.171644687652595
1800,4,43.04034662246704
1900,4,43.13973832130432
2000,4,42.99996304512024
