power_cap,gpu_count,runtime,avg_power_active,avg_sm_active,avg_dram_active,avg_power_x_gpu,avg_sm_x_gpu,avg_dram_x_gpu
800,1,55.91166663169861,446.14285714285717,1980.0,0.2810000000000001,446.14285714285717,1980.0,0.2810000000000001
800,2,79.35288858413696,202.64285714285714,1980.0,0.001,405.2857142857143,3960.0,0.002
800,3,0.0,149.0,1980.0,0.011000000000000001,447.0,5940.0,0.033
800,4,0.0,143.0,1980.0,0.011,572.0,7920.0,0.044
900,1,55.905763387680054,436.0,1980.0,0.2555714285714285,436.0,1980.0,0.2555714285714285
900,2,79.35300755500793,199.92857142857144,1980.0,0.001,399.8571428571429,3960.0,0.002
900,3,0.0,148.0,1980.0,0.011000000000000001,444.0,5940.0,0.033
1000,1,55.06574511528015,469.2857142857143,1980.0,0.282,469.2857142857143,1980.0,0.282
1000,2,79.35024952888489,200.5,1980.0,0.001,401.0,3960.0,0.002
1000,4,0.0,146.5,1980.0,0.009000000000000001,586.0,7920.0,0.036000000000000004
1200,1,56.682777404785156,434.42857142857144,1980.0,0.2505714285714286,434.42857142857144,1980.0,0.2505714285714286
1200,2,79.36249327659607,198.85714285714286,1980.0,0.001,397.7142857142857,3960.0,0.002
1200,3,0.0,156.66666666666666,1980.0,0.01,470.0,5940.0,0.03
1200,4,0.0,137.25,1980.0,0.0034999999999999996,549.0,7920.0,0.013999999999999999
1400,1,56.70649313926697,431.0,1980.0,0.24257142857142858,431.0,1980.0,0.24257142857142858
1400,2,79.39016723632812,198.64285714285717,1980.0,0.001,397.28571428571433,3960.0,0.002
1600,1,57.5726854801178,411.0,1980.0,0.23450000000000001,411.0,1980.0,0.23450000000000001
1600,2,80.18861174583435,197.71428571428572,1980.0,0.001,395.42857142857144,3960.0,0.002
1600,4,0.0,140.0,1980.0,0.00875,560.0,7920.0,0.035
2000,1,55.06280755996704,436.57142857142856,1980.0,0.24999999999999997,436.57142857142856,1980.0,0.24999999999999997
2000,2,79.40448689460754,197.71428571428572,1980.0,0.001,395.42857142857144,3960.0,0.002
