power_cap,pred_rank,true_rank,pred_optimal_gpu,true_optimal_gpu,top1_correct,kendall_tau
800,"[4, 3, 1, 2]","[3, 4, 1, 2]",4,3,0,0.6666666666666666
900,"[3, 1, 2]","[3, 1, 2]",3,3,1,1.0
1000,"[4, 1, 2]","[4, 1, 2]",4,4,1,1.0
1200,"[4, 3, 1, 2]","[3, 4, 1, 2]",4,3,0,0.6666666666666666
1400,"[1, 2]","[1, 2]",1,1,1,1.0
1600,"[4, 1, 2]","[4, 1, 2]",4,4,1,1.0
2000,"[1, 2]","[1, 2]",1,1,1,1.0
