total_gpu_cap,gpu_count,per_gpu_cap,model,throughput_images_per_sec,status
400,1,400,resnet50,5338.91,ok
500,1,500,resnet50,5726.57,ok
600,1,600,resnet50,5984.85,ok
700,1,700,resnet50,6027.73,ok
400,2,200,resnet50,4402.00,ok
500,2,250,resnet50,6365.26,ok
600,2,300,resnet50,7953.28,ok
700,2,350,resnet50,9327.78,ok
800,2,400,resnet50,9937.93,ok
900,2,450,resnet50,10317.82,ok
1000,2,500,resnet50,10673.33,ok
1100,2,550,resnet50,10876.66,ok
1200,2,600,resnet50,10935.98,ok
1300,2,650,resnet50,10963.33,ok
1400,2,700,resnet50,10919.16,ok
600,3,200,resnet50,6265.31,ok
700,3,233,resnet50,8061.48,ok
800,3,266,resnet50,9703.98,ok
900,3,300,resnet50,11140.10,ok
1000,3,333,resnet50,12244.01,ok
1100,3,366,resnet50,13180.17,ok
1200,3,400,resnet50,13715.56,ok
1300,3,433,resnet50,13828.73,ok
1400,3,466,resnet50,14299.00,ok
1500,3,500,resnet50,14531.27,ok
1600,3,533,resnet50,14639.34,ok
1700,3,566,resnet50,14731.99,ok
1800,3,600,resnet50,14746.77,ok
800,4,200,resnet50,7640.82,ok
900,4,225,resnet50,9282.02,ok
1000,4,250,resnet50,10923.25,ok
1100,4,275,resnet50,12135.28,ok
1200,4,300,resnet50,13370.11,ok
1300,4,325,resnet50,14479.52,ok
1400,4,350,resnet50,15229.21,ok
1500,4,375,resnet50,15575.07,ok
1600,4,400,resnet50,15915.16,ok
1700,4,425,resnet50,16027.57,ok
1800,4,450,resnet50,16468.35,ok
